Article;Count
RDN211000;1247
RDN211002;955
RDN110002;518
BXMT1002;449
RDN110000;398
BXNT6002;398
BZG787PLUS;340
TIXO1A0-00;320
TIXO1B0-00;304
BXNP13000-B0;300
GN21000S;261
VSIV;253
CFI12G60;248
VSIR;242
BXNE412002;236
RDN211W000;226
RDN211AL0;221
TIXO3B0-00;219
TIXO2B0-00;218
BZG789PLUS;197
GT45000S;196
TIXO3A0-00;189
TIXO2A0-00;183
GEXI07;178
BZG788PLUS;174
BZG760AC;171
BXNT1003-00-00;167
GN25000S;164
BZG787PPLUS;151
BXNP13003-B0;151
GH11010S;134
BXNT600E;131
BXNA1003-00-00;127
BPX1002-10-1A;125
BPX1002-10-10;122
GC52100S;118
BVNP13000-B0;118
BLUESET;117
BZG756AC;103
BRCPTFE6;102
BXNA1001-00-00;100
BXNE0200EE;99
REGR28;94
BPX0002-10-1A;93
S1-DE15-500501;92
TIXLINK1_USB;90
REGR28_1;89
CFI12N60;89
BXNE02000E;85
GB64000S;83
BZG761PLUS;82
BZG766AC;81
UITAN-1UN-1M1-UN000;79
RDN100000;78
BXNE34000E;77
RDN112002;74
TIA3A;73
BPX100E-10-1A;73
REGR28_3;72
BXNT1000-00-00;70
BZG710PLUS;67
TIA2A;63
BZC13_100_1_179;62
BXLT1002;62
EMT300X;59
CT-01A;58
BXNE3400EE;57
BPX1B02-10-1A;57
BZG728PLUS;56
BZG2715PLUS;56
RDN210000;52
GM60A200X;52
BZG2728PLUS;52
BZC24_100_2A_340;52
GH11020S;51
ACCDIVUI-001;51
RDN211B00;50
RDN210002;50
CFI12G80;50
BZG764PLUS;50
BXNE01000E;49
ACCDIVUI-003;49
BXNE41200E;46
BXNE010002;46
BPX100E-11-1A;46
BXNTI6002;45
ACCDIVUI-002;45
VSIJ;43
UITAN-1UN-1M1-UC001;43
BZC688;42
TIA1A;41
GSI40_UN_S;40
BZG764AC;40
BXNE0100E2;40
RDN211B02;39
BVLT0002;39
BXMTI2002;38
UITAN-1UN-1M2-UN000;37
S5LFNA03ABB060AD20BF;37
BXNE050002;37
BPX000E-10-1A;37
BPX000E-10-10;37
UITAX-1UN-1M1-UN000;36
RDN210V003;36
GS75000S;36
GM60A150X;36
BZC03_50_1_A;36
BXMT1B02;36
RDN102002;35
BXNE05000E;35
RDN211WB00;34
ACCDIVSSC001;34
RDN211001;32
BZG787PLUS-40MA;32
BPX0000-00-01_USB;32
TIA2B;31
BZG796PLUS;31
BXNE340002;31
BETI2003;31
BA427E;31
TIA3B;30
REGTX01;30
REGR28_5;30
S1LFNA03ABB060AD30AE;29
RDN100002;29
BZG755AC;29
BXNE3400E2;29
RDN211007;28
RDN112000;28
GEXI04;28
BXNA1000-00-00;28
BPX100E-10-10;28
TIA2D;27
S1VFZZ15AZB1800500AZ;27
GSI40_UN;27
UITAX-1UN-1M2-UN000;26
S5-DE20241932;26
REGTX03;26
GN21000B;26
BZG801;26
BXNE0500E2;26
BXNE0200E2;26
S1DFNA03AXXE-041;25
RDN210VB08;25
GZU1201;25
GEXI07_S;25
ETUDEDEBOUCLESI;25
BXNT6B02;25
TIXLINK4;24
S5LFNA03ABB0601000BF;24
S1VFNA03ABBZ300400AE;24
EMT100X;24
DDG-CPN046261;24
BXNE3720E2;24
BXNE372002;24
BXNE0520E2;24
BXNAI2003;24
GT60H050X;23
BZG767PLUS;23
BXNE052002;23
BED211002;23
BASI2361000;23
RDN211WB03;22
RDN112AL2;22
CFI14G60;22
S1VFNA03ABB160AD20AE;21
REGTX02;21
REGBPX00;21
GM60A100X;21
BXNP02000-05;21
BXNI2A400;21
ACCDIV-DE17-700524-2;21
SPT-87E;20
S1DFNA03AHB1600701AE;20
GM60A080X;20
BXMT100E;20
ACCDIVTX01;20
ACCDIVKIT-08;20
GZU1402;19
GT50H100X;19
GC-DE17-700542;19
BZANZ3510;19
BXNA1B03-00-00;19
BVNT0002;19
BVLT000E;19
S5VFNA03ABB260AD20BF;18
CT-03A;18
CRN600000;18
BZE805;18
BZE804;18
BXNE0500EE;18
BXLT100E;18
TIXLINK1;17
S1-DE20-21009801-B;17
MZA1300;17
GT60H150X;17
GC-2000075550;17
DDG-CPN106502;17
BXNE370C0E;17
BVMT0002;17
ACCDIVSSC006;17
RDN210VB03;16
MZC1400;16
GC-2000074597;16
DDG-CPN036490;16
BXNP02003-05;16
BXNE0100EE;16
TIA1B;15
SL-DE20-200400;15
S5VFNA03ALB2000000AF;15
S5LFNA03ALB0604000BF;15
S5LFNA03ABB0603000BF;15
RDN211AL1;15
GZU1410;15
GM60A250X;15
GM60A050X;15
GEXI27;15
DOCUMENTATION-06;15
DE19-900754;15
CFI12N80;15
BZC313;15
BXNRV1003-00;15
RDN210W003;14
GN25000B;14
BXNT1003-00-09;14
BXNE370CEE;14
BXNE0520EE;14
BA304NE-BL;14
TWS11B90100;13
S5LFNA03ABB0601600BF;13
S1VINA03AXXE-028;13
S1LFNA03ABB060AD10AE;13
RDN211W010;13
RDN211AL2;13
GZU1431;13
GT45000B;13
GM50A150X;13
BZC24_50_22_A1;13
BXNR02003-00;13
BXNE61200E;13
BVNP02000-05;13
BPX0000-00-01;13
ACCDIVKIT-11;13
50LFTS03ALB01008013;13
S1VFDEK11RIS604100ZB;12
S1-DE20-200220;12
S1-DE14-40538;12
REGR28/3;12
RDN110001;12
GM60A180X;12
BZG761DPLUS;12
BZC24_50_22_A2;12
BZATZ3510;12
BXNTI6B0E;12
BXNTI2000;12
BXNT1B03-00-00;12
BXNR45003-00;12
BXNE3600E2;12
SDN1U10;11
S5LFNA03ABB080ZZZ0BF;11
S5-DE19-900163;11
S1VFNA03ABB160AD30AS;11
S1LFNA03BBB0600700AS;11
S1LFNA03ABB060AD20AE;11
RDNBOX;11
RDN211W003;11
LV01003-00-00;11
GT50H150X;11
GM60S400X;11
GM60A120X;11
GM60A060X;11
BZG2728LPLUS;11
BZC2_150_2_62;11
BXNR03003-00;11
BXNE3100E2;11
BED112002;11
BA390R;11
S1VFNA03ABB160AD10AE;10
S1LFNA03ABB0602500AE;10
S1-DE14-40462-3;10
REGR28_2;10
GB64000B;10
CT-02A;10
BZG787PPLUS-40MA;10
BZE785AC;10
BZC668;10
BXNE620002;10
BXNE3420E2;10
BXNE05200E;10
BXLTI2002;10
BPX1B0E-10-1A;10
BPX000E-10-2D;10
BET1003-00-00;10
ACCDIVSONDE001;10
S4LFXE03AXXE-316;9
S4LFXE03ABB080AD50CE;9
S1VFHM15ALB1801000AF;9
S1LFNA03AXXE-168;9
GM50A200X;9
GM50A100X;9
GC-2000074596;9
CFI14N60;9
BZG906AC;9
BZG787LPPLUS;9
BXNR03000-00;9
BXNE410002;9
BXNAI2000;9
BER07003-00;9
BED410002;9
BA390G;9
UITAX-1UN-1M1-UC001;8
TIA3D;8
S1VFNA03AXXE-183;8
S1VFNA03ABB260AD20AE;8
S1VFBU03ALBZ141500AB;8
S1LFNA03ALB0602500AE;8
S1LFNA03ABB0601000AE;8
S1-DE14-40698;8
S1-DE14-40462-5;8
RDN210V008;8
GT50H200X;8
GM60A040X;8
EMT200;8
CR-01A;8
CFI34N21;8
CFI12G90;8
BZG788LPLUS;8
BZG764DAC;8
BZC673;8
BZC15_100_2A_123;8
BXNR02000-00;8
BXNE652002;8
BXNE3720EE;8
BXNE31000E;8
BXMTI200E;8
BVNP13003-B0;8
BPX0002-11-1A;8
BPX0002-10-10;8
BPX0000-00-03;8
BA390A;8
BA326C;8
ACCDIVKIT-02;8
S5VFNA03ABB160AD10BF;7
S4VFXE03ABB1602000DE;7
S1VFNA03ABBS45AD10MK;7
S1VFNA03ABB1600500AE;7
S1LFNA03ALB0603500AE;7
S1LFNA03ABB0603500AE;7
S1-DE17-700937-1;7
S1-DE16-600452-1;7
S1-DE15-50136-1;7
S0LFNA03ABB0ZZ05000A;7
RDN211AM2;7
GSI48_DC_R;7
GEXI24;7
GC-2000074583;7
BZG729PPLUS;7
BZC12_100_1_78;7
BXNT1003-13-00;7
BXNE360002;7
BXNE0120E2;7
BVNS0003-00-00;7
BVNA0000-00-00;7
BA599;7
